X,Y,Z,rho,p,T,U,V,W
-1.333670000000000E-002, 1.504950000000000E-001, 0.000000000000000E+000, 1.399940000000000E+000, 9.999330000000000E-001, 9.999810000000000E-001, 4.999990000000000E+000, 3.041150000000000E-006,-1.959300000000000E-004
-9.526250000000000E-003, 1.504950000000000E-001,-2.494470000000000E-019, 1.399980000000000E+000, 9.999770000000000E-001, 9.999930000000000E-001, 5.000120000000000E+000, 5.731610000000000E-007,-4.414720000000000E-004
-5.715750000000000E-003, 1.504950000000000E-001, 2.494470000000000E-019, 1.400050000000000E+000, 1.000040000000000E+000, 1.000010000000000E+000, 4.999970000000000E+000,-1.560240000000000E-006, 1.837260000000000E-004
-1.905250000000000E-003, 1.504950000000000E-001, 0.000000000000000E+000, 1.400040000000000E+000, 1.000040000000000E+000, 1.000010000000000E+000, 4.999950000000000E+000,-3.274460000000000E-006, 1.522640000000000E-004
 1.902870000000000E-003, 2.408500000000000E-003,-1.251560000000000E-019, 1.650040000000000E+000, 1.262060000000000E+000, 1.070810000000000E+000, 4.968200000000000E+000,-2.171350000000000E-002,-2.451640000000000E-004
 5.712850000000000E-003, 3.416620000000000E-003, 0.000000000000000E+000, 2.018030000000000E+000, 1.677970000000000E+000, 1.164080000000000E+000, 4.913680000000000E+000, 9.365360000000000E-002,-2.530900000000000E-004
 9.522839999999999E-003, 4.424740000000000E-003, 1.267800000000000E-019, 2.414150000000000E+000, 2.169610000000000E+000, 1.258190000000000E+000, 4.859290000000000E+000, 1.787300000000000E-001, 6.640950000000000E-005
 1.333280000000000E-002, 5.432860000000000E-003,-1.276080000000000E-019, 2.851680000000000E+000, 2.771970000000000E+000, 1.360870000000000E+000, 4.839970000000000E+000, 1.221290000000000E-001, 2.523030000000000E-004
 1.714280000000000E-002, 6.440980000000000E-003, 1.284480000000000E-019, 3.282710000000000E+000, 3.415760000000000E+000, 1.456750000000000E+000, 4.779480000000000E+000, 2.614170000000000E-001,-2.252580000000000E-004
 2.095280000000000E-002, 7.449110000000000E-003, 0.000000000000000E+000, 3.582400000000000E+000, 3.908020000000000E+000, 1.527260000000000E+000, 4.706310000000000E+000, 4.926970000000000E-001, 1.891280000000000E-004
 2.476280000000000E-002, 8.457230000000000E-003, 0.000000000000000E+000, 3.880960000000000E+000, 4.429890000000000E+000, 1.598030000000000E+000, 4.681540000000000E+000, 5.077410000000000E-001,-6.137850000000000E-004
