rho,p,T,U,V,W
 1.224820000000000E+000, 3.516480000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.670910000000000E-003,-1.373230000000000E-011
 1.224820000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.413970000000000E-003,-6.921300000000000E-011
 1.224820000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.201670000000000E-003, 1.607250000000000E-010
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.025870000000000E-003,-2.447920000000000E-010
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 8.784310000000000E-004, 3.037810000000000E-010
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 7.557920000000000E-004,-3.238900000000000E-010
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 6.513120000000000E-004, 2.986560000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 5.642600000000000E-004,-2.339070000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 4.890790000000000E-004, 1.504030000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 4.264360000000000E-004,-8.097910000000000E-011
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.714020000000000E-004, 5.572690000000000E-011
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.261090000000000E-004,-8.268960000000000E-011
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.848060000000000E-004, 1.391580000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.522210000000000E-004,-1.882730000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.206910000000000E-004, 1.920350000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.953930000000000E-004,-1.515080000000000E-010
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.766450000000000E-004, 7.609340000000000E-011
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.457830000000000E-004,-5.500890000000000E-012
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.452900000000000E-004,-8.703860000000000E-012
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.153950000000000E-004, 5.990690000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.158610000000000E-004, 1.522590000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 9.203850000000000E-005, 6.488530000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 9.337320000000000E-005, 1.739610000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 7.394080000000000E-005, 1.285800000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 7.529540000000000E-005, 1.510400000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 5.997570000000000E-005, 6.218660000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 6.150890000000000E-005, 6.715170000000001E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 4.899060000000000E-005, 2.220140000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 5.014090000000000E-005, 2.435170000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 4.102050000000000E-005, 1.470140000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.913690000000000E-005,-9.041090000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.580570000000000E-005,-7.645480000000001E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.162080000000000E-005,-1.812200000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.937080000000000E-005,-1.040000000000000E-015
 1.224810000000000E+000, 3.516470000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003, 2.339590000000000E-005,-1.771220000000000E-015
 1.380760000000000E+000, 1.325510000000000E+005, 3.343710000000000E+002, 8.490180000000000E+002, 2.283360000000000E+002,-2.363400000000000E-010
