X,Y,Z,rho,p,T,U,V,W
 2.990810000000000E-001, 9.188090000000000E-002, 1.372730000000000E-019, 3.817650000000000E+000, 4.806480000000000E+000, 1.762630000000000E+000, 4.463870000000000E+000, 1.194510000000000E+000, 0.000000000000000E+000
 3.028900000000000E-001, 9.273590000000000E-002,-2.660500000000000E-019, 3.811760000000000E+000, 4.791600000000000E+000, 1.759890000000000E+000, 4.464570000000000E+000, 1.195640000000000E+000, 0.000000000000000E+000
 1.902870000000000E-003, 2.898930000000000E-002, 1.311800000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 6.849349999999999E-014, 0.000000000000000E+000
 5.712850000000000E-003, 2.981870000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.045690000000000E-013, 0.000000000000000E+000
 9.522839999999999E-003, 3.064820000000000E-002,-2.656060000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.120060000000000E-013, 0.000000000000000E+000
 1.333280000000000E-002, 3.147770000000000E-002, 1.206510000000000E-020, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-6.386290000000000E-014, 0.000000000000000E+000
 1.714280000000000E-002, 3.230710000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.617400000000000E-013, 0.000000000000000E+000
 2.095280000000000E-002, 3.313660000000000E-002, 1.353220000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.672580000000000E-013, 0.000000000000000E+000
 2.476280000000000E-002, 3.396610000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.035170000000000E-013, 0.000000000000000E+000
 2.857280000000000E-002, 3.479550000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.758170000000000E-014, 0.000000000000000E+000
 3.238270000000000E-002, 3.562500000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.356460000000000E-013, 0.000000000000000E+000
 3.619270000000000E-002, 3.645450000000000E-002,-1.388500000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.819710000000000E-013, 0.000000000000000E+000
 4.000270000000000E-002, 3.728390000000000E-002,-1.206600000000000E-020, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.094910000000000E-013, 0.000000000000000E+000
 4.381270000000000E-002, 3.811340000000000E-002, 1.406910000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.995660000000000E-013, 0.000000000000000E+000
 4.762270000000000E-002, 3.894290000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.236420000000000E-013, 0.000000000000000E+000
 5.143270000000000E-002, 3.977230000000000E-002,-1.425860000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.592420000000000E-013, 0.000000000000000E+000
 5.524260000000000E-002, 4.060180000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.737250000000000E-013, 0.000000000000000E+000
